# frame  time_ps  oxide_zmin_A  oxide_zmax_A  oxide_thickness_A  oxide_top_roughness_A  penetration_max_A  penetration_mean_pos_A  penetration_fraction_gt_2.00A  llzo_center_z_A  metal_center_z_A  center_sep_z_A  Li_metal-La  Li_metal-Zr  Li_metal-O  RMSD_framework_all_A  RMSD_Li_metal_A  RMSD_Li_oxide_A  RMSD_La_A  RMSD_Zr_A  RMSD_O_A  MSD_framework_all_A2  MSD_Li_metal_A2  MSD_Li_oxide_A2  MSD_La_A2  MSD_Zr_A2  MSD_O_A2  CN_Li_metal-O  CN_Li_metal-Li_oxide  CN_Li_oxide-O
530.00000000 26.50000000 73.06433816 155.77862026 82.71428209 3.75146453 0.87322127 0.87322127 0.00000000 53.84153750 132.10920189 78.26766439 3.16979370 2.86210401 1.83673308 0.26380833 1.06506524 0.60159485 0.31181811 0.23332594 0.25536552 0.06959484 1.13436396 0.36191636 0.09723053 0.05444100 0.06521155 0.01279318 0.11940299 1.77057793
540.00000000 27.00000000 72.95300181 155.88995661 82.93695481 3.76524300 1.07892474 1.07892474 0.00000000 53.85777417 132.15927060 78.30149643 2.98065742 2.97631613 1.83751560 0.27909228 1.14008040 0.60726641 0.33831237 0.24360701 0.26803575 0.07789250 1.29978332 0.36877249 0.11445526 0.05934437 0.07184317 0.01279318 0.10234542 1.79509632
550.00000000 27.50000000 72.99473135 155.84822707 82.85349572 3.75456780 0.97133047 0.97133047 0.00000000 53.86810069 132.12507387 78.25697318 3.11264448 2.84634657 1.86658685 0.29550574 1.20584907 0.62547980 0.35767358 0.25247845 0.28478355 0.08732364 1.45407198 0.39122498 0.12793039 0.06374537 0.08110167 0.01279318 0.11940299 1.79334501
560.00000000 28.00000000 73.05193576 155.79102266 82.73908691 3.75435355 0.80418103 0.80418103 0.00000000 53.83909264 132.09580255 78.25670991 3.22423763 2.86878098 1.80157579 0.28634649 1.14065843 0.63175987 0.33549505 0.25269424 0.27816719 0.08199432 1.30110165 0.39912054 0.11255693 0.06385438 0.07737698 0.01279318 0.11300640 1.80560420
570.00000000 28.50000000 72.98311990 155.85983852 82.87671862 3.75354670 1.08711186 1.08711186 0.00000000 53.84950127 132.07465225 78.22515098 3.14981103 2.91831896 1.89258144 0.30909426 1.12070501 0.62302758 0.35376369 0.27461916 0.30247450 0.09553926 1.25597972 0.38816337 0.12514875 0.07541568 0.09149082 0.01279318 0.11300640 1.79334501
580.00000000 29.00000000 73.04136797 155.80159045 82.76022248 3.73698638 0.70303787 0.70303787 0.00000000 53.85348218 132.13054086 78.27705868 3.04320346 2.95077455 1.86891398 0.36394165 1.08243612 0.64421399 0.42126250 0.34077829 0.35202555 0.13245352 1.17166795 0.41501167 0.17746210 0.11612985 0.12392199 0.01279318 0.11727079 1.78108581
590.00000000 29.50000000 72.98159957 155.86135885 82.87975929 3.74454978 0.73962473 0.73962473 0.00000000 53.84871024 132.15492936 78.30621912 3.29772127 2.79582422 1.86642186 0.37948984 1.00841260 0.63048018 0.42434873 0.35504502 0.37147047 0.14401254 1.01689598 0.39750526 0.18007185 0.12605697 0.13799031 0.01279318 0.11087420 1.78108581
600.00000000 30.00000000 72.96008151 155.88287691 82.92279540 3.77258636 0.91438069 0.91438069 0.00000000 53.85147190 132.09593586 78.24446397 3.17335283 2.90492529 1.80470942 0.34999486 0.96386806 0.61298797 0.39126367 0.32757762 0.34260800 0.12249640 0.92904163 0.37575425 0.15308726 0.10730710 0.11738024 0.01279318 0.11300640 1.78458844
610.00000000 30.50000000 73.01536220 155.82759622 82.81223403 3.73146923 0.70030170 0.70030170 0.00000000 53.83913542 132.11156652 78.27243110 3.27588037 2.92795339 1.77173497 0.34055535 1.07814963 0.62681937 0.39173676 0.30810381 0.33183782 0.11597794 1.16240662 0.39290252 0.15345769 0.09492796 0.11011634 0.01279318 0.11513859 1.78809107
620.00000000 31.00000000 73.06249358 155.78046484 82.71797125 3.74671762 0.99828532 0.99828532 0.00000000 53.84694867 132.08950321 78.24255454 3.19567169 3.00263807 1.78943662 0.35720814 1.06687503 0.63868244 0.40190796 0.32362629 0.35060688 0.12759766 1.13822233 0.40791526 0.16153001 0.10473397 0.12292518 0.01279318 0.12366738 1.79334501
630.00000000 31.50000000 73.03321783 155.80974059 82.77652275 3.72707498 1.05682314 1.05682314 0.00000000 53.84368952 132.09688505 78.25319554 3.08546029 3.01506241 1.77364735 0.33711724 1.00725624 0.62455697 0.38866856 0.31305004 0.32695899 0.11364804 1.01456514 0.39007141 0.15106325 0.09800033 0.10690218 0.01279318 0.11300640 1.79684764
640.00000000 32.00000000 72.95885275 155.88410567 82.92525292 3.74222739 1.06485780 1.06485780 0.00000000 53.85507347 132.08308326 78.22800980 3.12254747 2.86706132 1.77404701 0.32711098 1.08574226 0.61566831 0.37087575 0.29705018 0.32014359 0.10700160 1.17883626 0.37904747 0.13754882 0.08823881 0.10249192 0.01279318 0.12579957 1.78283713
650.00000000 32.50000000 72.83992211 156.00303631 83.16311420 3.78219801 0.88630308 0.88630308 0.00000000 53.87508459 132.14033833 78.26525373 3.06101485 3.04984639 1.89258634 0.33987850 1.07309427 0.61745380 0.38853563 0.30121453 0.33284825 0.11551739 1.15153130 0.38124919 0.15095993 0.09073019 0.11078796 0.01279318 0.11300640 1.77583187
660.00000000 33.00000000 72.94678713 155.89617129 82.94938417 3.76038014 0.55296625 0.55296625 0.00000000 53.87277688 132.16503865 78.29226177 2.93970125 2.96919748 1.87427123 0.37386734 1.05799325 0.64019521 0.42620562 0.34300362 0.36468580 0.13977679 1.11934971 0.40984991 0.18165123 0.11765149 0.13299573 0.01279318 0.10874200 1.77933450
